,500,1000,1500,2000
5,91831,225311,398636,706545
6,93496,195620,402341,703946
7,68648,179786,389179,711098
10,96886,182640,397225,744568
20,66218,192969,409898,711529
30,67748,195264,412363,723258
40,67693,239866,699668,1370673
50,134564,384575,815324,1364341
60,134310,373284,815574,1416007
70,133865,373635,801252,1409823
80,158981,382310,807274,1412888
90,153282,400767,817154,1442785
100,175962,408111,828655,1449947
110,165344,396417,813525,1465271
120,150403,406038,834960,1429464
130,179579,404772,848880,1531307
140,167508,435287,845431,1510563
150,178459,435661,873348,1500037
